Genes	E14tg2a-168h 1A	E14tg2a-168h 1B	E14tg2a-168h 1C	E14tg2a-168h 1D	E14tg2a-168h 1E	E14tg2a-168h 1F	E14tg2a-168h 1G	E14tg2a-168h 1H	E14tg2a-168h 2A	E14tg2a-168h 2B	E14tg2a-168h 2C	E14tg2a-168h 2D	E14tg2a-168h 2E	E14tg2a-168h 2F	E14tg2a-168h 2G	E14tg2a-168h 2H	E14tg2a-168h 3A	E14tg2a-168h 3B	E14tg2a-168h 3C	E14tg2a-168h 3D	E14tg2a-168h 3E	E14tg2a-168h 3F	E14tg2a-168h 3G	E14tg2a-168h 3H	E14tg2a-168h 4A	E14tg2a-168h 4B	E14tg2a-168h 4C	E14tg2a-168h 4D	E14tg2a-168h 4E	E14tg2a-168h 4F	E14tg2a-168h 4G	E14tg2a-168h 4H	E14tg2a-168h 5A	E14tg2a-168h 5B	E14tg2a-168h 5C	E14tg2a-168h 5D	E14tg2a-168h 5E	E14tg2a-168h 5F	E14tg2a-168h 5G	E14tg2a-168h 5H	E14tg2a-168h 6A	E14tg2a-168h 6B	E14tg2a-168h 6C	E14tg2a-168h 6D	E14tg2a-168h 6E	E14tg2a-168h 6F	E14tg2a-168h 6G	E14tg2a-168h 6H	R1-168h 1A	R1-168h 1B	R1-168h 1C	R1-168h 1D	R1-168h 1E	R1-168h 1F	R1-168h 1G	R1-168h 1H	R1-168h 2A	R1-168h 2B	R1-168h 2C	R1-168h 2D	R1-168h 2E	R1-168h 2F	R1-168h 2G	R1-168h 2H	R1-168h 3A	R1-168h 3B	R1-168h 3C	R1-168h 3D	R1-168h 3E	R1-168h 3F	R1-168h 3G	R1-168h 3H	R1-168h 4A	R1-168h 4B	R1-168h 4C	R1-168h 4D	R1-168h 4E	R1-168h 4F	R1-168h 4G	R1-168h 4H	R1-168h 5A	R1-168h 5B	R1-168h 5C	R1-168h 5D	R1-168h 5E	R1-168h 5F	R1-168h 5G	R1-168h 5H	R1-168h 6A	R1-168h 6B	R1-168h 6C	R1-168h 6D	R1-168h 6E	R1-168h 6F	R1-168h 6G	R1-168h 6H	
Gsk3b	999	999	999	999	18.65634175	999	19.78672022	999	17.74769709	999	999	999	18.85440178	999	999	999	18.99238584	999	18.29900596	999	999	999	999	18.59751491	999	999	17.71353399	999	999	999	18.50585574	999	18.72278628	999	999	999	18.71006962	18.94944045	999	19.31820516	999	19.9628191	999	17.99264214	19.80410508	999	19.9378215	18.78842506	999	999	999	999	999	999	19.16907942	18.75714774	999	999	19.75171306	999	999	999	999	999	999	18.17104953	999	999	999	18.51783009	999	999	999	999	999	18.68017483	18.93324422	999	18.59032389	999	20.51589128	999	18.61690741	999	999	999	999	18.77797336	999	999	999	999	999	999	17.81396237	18.85037104	
Hand1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Hdac1	16.65978607	12.89162509	16.72869239	15.18138139	14.51680575	14.50348111	15.57870423	15.43036778	15.18831494	14.96774392	15.14300768	16.07138703	15.93237357	18.80022297	16.82791376	15.48061599	15.59488919	17.67867451	13.8490382	16.4302753	15.26234433	999	14.80833079	16.40940102	17.75724643	16.36938091	13.99156859	15.32313075	14.520129	999	16.08390418	16.36441411	16.63549435	15.58953001	16.5402883	17.80719056	16.65254162	16.07525758	14.38883222	14.95178334	15.17062256	14.59852157	16.49624494	15.526596	16.89507773	16.8685913	15.68035639	16.53483563	14.7695581	17.85443425	13.91413857	12.31950828	13.26723728	12.53485486	13.39286207	14.667704	16.24725146	15.15722488	14.82171636	13.64047072	12.98091873	12.42087385	12.60571008	12.73349199	13.81957487	13.23410147	12.76073342	13.66429513	999	12.43079239	14.52193913	12.45752309	13.01751435	13.53687305	11.73665696	13.5026345	14.05388966	13.1372343	15.47590769	13.40262967	11.55806849	14.63641849	13.62115929	12.08196422	12.44045748	14.85068199	999	13.60188451	12.56275047	14.90179323	12.36628776	15.74814621	14.31150451	12.6381142	13.32959729	16.53378097	
Hes1	999	22.5096368	999	18.13565875	999	999	999	999	999	999	999	999	999	999	999	999	999	999	21.56945889	999	20.40342129	999	999	999	999	999	21.32255744	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	23.62797613	999	27.02460873	999	999	21.78407868	999	27.16904386	999	999	24.67371529	999	999	25.06787912	999	999	999	22.08677382	999	999	999	999	999	999	22.27052216	27.43844131	999	999	28.20990776	26.34357843	999	23.46581066	26.86619127	999	999	999	20.92006593	23.97906054	999	20.98447293	27.42233344	999	999	999	999	24.91848197	999	999	
Igf2	999	15.29164211	999	19.27207083	19.84888319	18.90534816	999	18.85354333	999	999	999	19.10025252	999	999	999	18.71596426	999	999	999	999	16.4932574	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	22.35699146	999	999	999	999	999	999	999	999	999	15.13305282	18.35571826	13.32687448	13.68252109	17.84124488	11.14195702	19.20488578	17.99780476	21.75687368	20.39122408	14.7282691	17.66148959	17.22435313	16.11276109	16.63023443	17.94307267	15.4241203	14.22617575	19.16356875	14.71819164	999	17.86090773	23.66371958	18.99527008	17.86141935	16.13217241	17.77193703	16.18681357	18.58895242	17.81274859	23.67842568	18.16280841	13.87484891	17.72180749	16.75561502	14.32846535	12.36545839	16.87124558	999	12.95369642	14.94843047	999	18.97257545	19.04172558	17.76611903	17.69323859	14.36136189	19.3507539	
Isl1	15.06256361	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.83987596	999	999	999	999	999	999	999	17.34896301	999	999	999	999	999	999	999	999	999	999	999	999	999	19.80612522	999	999	999	19.79948981	999	999	999	999	999	19.78723708	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	20.01395434	999	999	20.37046561	999	999	999	999	999	999	999	999	999	999	999	
Jag1	999	17.42222658	17.50457727	999	18.53745146	16.68510446	14.85781865	17.58827924	999	999	999	15.69959008	13.5612351	15.88229532	999	999	999	999	999	999	999	999	999	16.47725705	16.48024435	12.66200953	999	17.56218283	999	999	17.16945826	999	17.63501954	999	999	999	999	999	999	999	17.58770809	999	17.74634481	17.2560892	16.27228502	999	999	999	999	999	999	999	999	999	17.52311791	999	999	999	17.9541621	999	999	16.92422899	999	999	999	999	999	999	999	999	16.41650074	17.68947045	17.46818823	16.85085365	999	17.80573726	16.52585915	17.58554228	999	17.81190101	999	17.46215135	16.19200897	999	999	999	999	16.32982089	999	999	17.535332	999	999	15.53868971	999	999	
Jarid2	16.88213351	15.42479826	17.64935239	17.73713339	17.66801139	17.73357854	15.30251155	21.50346321	999	16.71483484	15.88912675	19.37536098	17.96683659	18.56134888	16.87921403	18.19060532	999	18.03217957	17.44463855	18.12129468	999	18.45763868	16.56028973	18.76929172	17.20871698	17.80565962	18.36939333	15.64091542	16.9004606	999	999	17.31401726	17.36720891	18.63425737	999	16.97860173	16.93766184	18.39302597	18.58734221	17.5047816	17.30148991	17.40066604	999	17.22736167	16.42316362	15.35008446	16.57737996	17.10641407	999	999	17.34402316	999	15.93779419	15.29943805	16.40034941	17.88519829	16.73306323	17.47261464	999	16.63615683	17.65979623	16.85888304	19.28466852	16.82584442	17.09568774	18.28237799	16.08833768	17.01821735	999	17.05090694	17.64830297	16.00037853	16.89387849	999	16.15999149	999	17.65449175	17.51472133	17.74054499	16.98790912	16.42065925	18.28931129	16.84692206	16.95428484	15.99887486	999	999	999	17.67386806	999	999	16.43418722	18.68553436	17.85870361	15.92686127	17.65815254	
Kdm1a	12.87504916	12.93716712	13.85600474	14.65215746	14.47089927	13.60761613	12.995968	13.32829737	15.65188773	14.36645617	14.59869688	14.67479519	14.00765902	14.23663925	14.75797187	15.16293844	13.48837403	14.0702827	14.90119701	14.54244457	14.14935299	999	14.6116526	13.62754706	15.47369404	14.42549146	13.0645739	14.13770651	13.85878456	999	13.42440348	14.00340165	13.22779369	15.07876338	13.10461302	14.02193888	14.04577192	13.15093685	14.86900352	14.61991724	14.58490311	13.96437211	13.17591323	13.58060591	14.53541605	12.69765451	14.39008306	13.9267765	15.20638223	999	12.74472449	13.08746534	13.3685016	11.74609092	12.23170115	13.40590269	17.11171862	15.36365273	13.59749553	13.41296425	13.16026088	12.35750367	12.64702828	13.29578896	13.16764258	13.16704131	12.62983351	13.17894215	999	12.41772604	13.21945613	12.81873479	13.41082286	12.85133363	12.8037919	12.49787749	13.60225297	11.92257235	13.95237503	13.79921202	11.58716342	13.50145278	12.22345829	12.16625714	12.12474967	13.64129398	999	12.93959382	12.86341014	13.77290635	12.84649707	14.17547773	13.39436727	12.32865645	12.2823209	13.76907009	
Kdm4c	999	16.3996692	18.26449973	18.50587861	16.35886249	999	18.90439404	999	17.88843289	17.33259257	999	18.23505343	19.58001056	999	19.72022408	18.37083246	18.18669126	18.13105066	17.16196603	18.73145452	17.59742374	999	999	999	18.76301531	999	999	999	999	999	999	18.55053155	17.6593436	16.92981279	999	999	999	999	16.66439529	18.40129791	18.7442816	18.63951075	18.3230547	17.47192413	18.42039817	999	16.79640525	18.66672257	18.3340463	18.30432995	18.57787255	17.62504858	16.57877938	999	17.75435432	999	19.23855174	17.16670988	999	19.34123292	18.20612221	999	18.44735325	999	17.69036639	999	999	18.33906269	999	999	999	16.95388949	17.34527045	18.39702869	16.85043812	17.94811928	16.72815078	16.66518066	999	999	15.35236485	17.70775065	19.45305942	16.80142981	999	17.34080199	999	17.987719	16.9500982	17.88776394	18.62065125	18.60754755	18.53790242	18.45276207	15.36873582	18.0559781	
Klf4	999	14.76383975	999	15.02601175	14.99781796	999	999	999	15.31811702	999	999	999	999	999	999	999	18.61979505	999	999	999	15.44754734	999	19.83990185	999	999	999	15.15131966	999	999	999	999	999	999	16.23265625	999	999	999	999	13.20695974	999	999	999	999	999	999	999	999	999	999	999	999	999	18.4514381	14.95305295	999	999	999	18.39547173	999	18.5422286	999	999	999	999	999	14.97610593	18.4913886	18.75791652	999	999	999	999	999	17.76917645	999	999	18.30738413	999	17.62537999	999	999	999	999	999	999	16.04204779	999	999	999	999	999	14.8841367	999	999	15.03623769	15.5701181	
Lif	999	16.00830968	999	17.36226581	999	999	999	999	20.55859525	999	999	999	999	999	999	999	999	999	999	999	19.80959507	999	999	999	999	999	15.34889307	999	20.25939499	999	999	999	999	999	999	999	999	999	19.3334194	999	999	999	999	999	999	999	999	999	999	999	20.78611623	20.12986128	20.09272382	17.98214777	999	999	19.86610394	999	999	999	18.58594478	999	21.31399643	20.24556111	999	19.31099384	999	999	999	20.36219888	999	999	999	999	20.4001158	999	999	999	18.50937032	20.04395606	19.08152556	999	999	19.68252901	999	21.04199486	999	999	999	20.40432636	999	18.60725552	999	999	18.93315722	999	
Lifr	18.65467556	15.418622	999	14.01864127	15.34918256	999	17.95025731	17.75810629	14.93292944	19.16661987	19.67801824	20.13217074	16.91121854	19.60134088	999	17.69018378	21.89245197	999	20.08340147	18.86881763	15.12360407	999	999	18.48844445	999	17.9777563	13.43343452	20.03328861	17.03706182	19.68091762	18.31057745	999	18.9797456	13.75036932	18.55904206	999	999	999	14.77846659	999	999	999	999	18.29122694	17.91727983	18.91193863	18.00828475	999	17.97245252	19.49973981	999	19.27249805	999	18.70745085	17.72297781	16.48473048	19.71445855	14.77842894	19.99125112	999	20.03807865	18.18243187	17.02972665	999	16.98804968	19.65909205	999	19.55074502	999	17.23500163	18.25207448	999	17.59194322	16.56095218	999	19.36777407	999	20.24943354	17.6761657	18.86314357	16.53643263	16.36266452	20.11856081	17.04579513	999	16.34314442	999	19.48845099	19.48653334	999	999	17.80632678	19.13899618	17.70408987	16.60168586	20.52962643	
Lin28a	17.94011192	17.04263772	20.47622415	18.84635834	15.44454036	19.20370173	16.52864487	18.22822329	18.73558147	20.29119631	999	17.87377168	999	20.44132315	23.37991515	21.89091361	999	21.28909294	20.85073651	19.38868764	16.77141351	999	21.47002403	18.17909308	21.29842474	20.92942533	16.30898235	18.87126161	15.78352883	999	19.79281492	999	15.19447022	18.57748716	21.30223453	20.33758119	21.33677883	18.23554246	16.15511452	21.60290957	999	999	16.87407156	21.07471444	20.61461267	18.1564251	999	18.10775691	16.78047503	999	16.23333091	15.55090346	15.54527117	999	15.31690335	15.6531035	18.1562282	16.60001309	15.59345581	17.8603758	15.81700976	15.07100531	15.33973154	16.64102474	16.89661767	14.5465208	15.298646	15.12144828	999	14.07594409	16.03332842	15.09300627	14.74753396	16.08422125	16.14559902	16.12883665	17.08808688	15.90251178	16.80477052	16.23981398	14.22985336	17.2314177	14.76899116	14.44370416	15.43896407	15.8850889	999	14.54433422	15.99050961	17.37849804	15.24119422	16.07738028	15.88356543	14.18836223	14.89858325	18.36653618	
Mbd3	14.87475709	14.406034	17.0566838	15.3989836	15.21071567	16.07128428	14.96659439	15.53027643	17.4367985	15.44137279	17.09610426	16.74376308	16.22632824	17.77992093	15.74240494	15.68357817	16.96991414	999	15.72697807	18.07849766	15.47602972	18.1656378	15.26066008	16.83295404	18.5491695	17.75394883	14.79509975	18.76033387	14.82450682	999	17.6042661	16.88468219	17.56107046	16.5399712	17.55419618	18.1632749	16.6303767	18.51956439	15.50473219	15.9584285	15.3942544	15.8665837	16.61875715	17.34820803	16.20964656	15.84340117	16.91830186	16.18514552	16.94196716	16.94491912	15.8749013	14.94480122	14.82862645	14.54702063	14.64311493	18.68882448	20.00631267	17.97157527	15.21621357	15.7886686	15.57752713	14.14310399	16.23712571	14.97522875	16.55363372	15.15775355	15.23711558	15.82006688	999	14.07144697	15.34859674	14.9325464	14.67177865	15.03390155	15.16796274	15.26320173	16.10208704	14.47802188	16.53017194	15.32722921	13.79353958	14.77683597	15.90513914	14.60904523	14.33769477	16.22761336	999	14.98781318	14.81165889	18.33325787	14.95969243	17.906085	14.92511448	14.66716995	13.98715691	16.18426583	
MBP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Mef2a	18.22625931	14.74207645	18.10440241	18.84017524	17.98880481	17.96901015	999	16.69556138	22.26136952	999	17.90393133	18.49232049	999	999	999	999	999	18.851462	17.97622684	17.09589414	999	999	999	999	999	999	17.85274777	16.95967857	18.69508914	999	17.78747749	999	999	999	16.8803775	999	999	999	999	19.97776792	999	16.87276886	18.0440735	999	17.9277681	17.78416988	17.54614426	999	999	17.96604025	16.3954186	16.80250317	16.89824122	16.39478761	16.90487836	999	999	18.1836918	999	999	15.42057446	999	18.0046679	17.18398577	16.39296687	17.5247884	16.80415873	15.80833289	999	17.74884345	21.05141747	999	18.32849495	19.52652934	999	17.21429255	16.91860886	17.86716006	999	16.70760211	17.3259002	16.82460288	18.41104925	17.38875841	16.95114637	18.25814555	999	18.05312633	17.73680624	17.60358448	18.43800535	999	999	999	999	16.78578119	
Mixl1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Mki67ip	21.51867668	15.5618943	999	999	19.72690446	999	18.45561708	999	999	999	999	20.12470257	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.57953005	999	999	999	999	999	999	19.15784489	18.17025853	999	999	999	17.4979233	19.69468478	999	999	999	999	999	999	17.97674867	999	999	999	999	999	999	999	19.21453695	999	999	999	999	999	19.72933783	16.50003206	17.13802633	999	18.63695447	16.35332123	999	999	999	17.39667267	999	999	999	999	999	18.40070304	18.58973136	999	999	18.28347636	18.45791782	999	999	18.46213441	19.08757137	999	999	999	18.94380746	999	999	18.85801352	19.74249816	18.46325377	999	18.24407063	
Myc	999	16.41150559	999	999	999	999	14.67534908	999	999	999	999	999	999	15.75766719	999	999	999	999	17.19613494	999	999	999	999	999	999	18.35972483	15.68989756	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.93077558	999	999	16.92554906	999	999	999	999	16.44735853	999	999	13.82904753	999	17.17705319	18.56155989	999	17.85702507	999	18.57464845	18.60257478	21.59114293	999	18.29796352	21.98702965	999	999	999	16.28850471	19.54698236	999	14.2163228	999	999	18.75602881	17.42081605	999	16.78171852	999	999	16.21883641	999	999	18.04407414	999	999	999	999	999	999	20.89783799	999	14.61634666	19.63331916	999	
Myst3	16.489513	14.91078969	17.20537686	16.96769908	17.12176784	15.52803794	15.80291743	16.47666411	17.29586071	999	16.53973059	18.8050555	17.72244087	17.47700079	17.12284906	16.32624004	17.82545039	16.51552415	15.550993	16.66881637	16.53287814	999	16.14092286	16.52714752	17.25681093	18.72929297	16.56173611	17.93705626	16.81036826	999	17.21243555	15.90558601	17.01498042	17.53945337	16.24558599	18.50110335	17.31624425	16.92994577	18.20179523	17.03811237	16.48077934	16.57122799	16.93896633	16.78304757	17.57371378	15.17507013	16.638052	16.43741431	17.98732366	999	17.57355422	16.07532349	15.17037882	15.54136077	14.79755105	15.50404498	18.71373479	16.57442824	17.72509739	18.68591465	15.92898579	14.87074409	17.00458338	16.44604695	17.88926971	15.58641009	15.97883088	17.57466833	999	15.5052378	14.98152067	15.83103007	15.98975633	16.39557033	17.77682518	16.55032179	15.74126656	16.33850361	18.8129537	16.38858937	15.25667006	16.25772502	15.87509482	14.83852982	15.56817959	15.71803947	999	16.12617876	16.41615609	16.77485467	15.50351558	17.70512683	15.73471573	15.423344	16.12739151	16.15791141	
Nanog	18.77193649	19.6684363	999	999	999	20.90723399	999	999	999	999	999	999	999	999	17.97173984	999	999	999	999	999	23.04261822	999	999	19.61273311	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	17.94173735	999	999	999	999	999	999	19.42734006	999	999	999	999	999	999	999	999	20.73742598	999	999	999	19.42747949	999	999	999	999	999	999	999	22.51062326	999	999	999	999	999	999	999	999	999	999	999	
Ncam1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Nestin	18.63387812	17.95748112	999	999	999	16.15267638	17.11039417	999	999	17.38069985	15.81096094	999	18.90074576	999	18.55487936	18.75327234	20.28274806	20.83246889	20.74563801	999	20.16176866	999	17.87329572	21.01292372	18.7334546	999	21.1858014	999	17.20552551	999	19.03116591	999	19.58437623	999	20.33689925	999	999	18.06291863	18.94656551	16.88465984	17.47695465	999	19.54333179	999	999	21.01073198	17.9639756	999	999	999	19.99772457	999	20.13018482	999	16.52410902	999	20.49182113	999	18.4401466	999	19.18344889	16.98995594	999	999	999	999	999	999	999	19.56857269	15.72806634	999	18.39306075	18.29490291	20.07410454	17.79756537	17.781203	19.16043842	999	16.18210263	21.19055125	999	18.23971053	18.47310442	20.51189955	999	999	19.77001704	19.63873433	999	19.83144422	21.18155157	18.33153704	16.65484874	19.28949582	999	
Notch1	999	999	999	999	19.88200611	18.91890821	17.34028624	999	999	19.11327862	19.8443187	999	19.61969322	999	999	19.70027518	999	999	19.49264472	999	999	999	17.85688069	999	18.27521013	999	999	22.38777042	19.29049752	999	999	999	999	999	19.01060984	20.4232011	999	999	999	17.71812671	19.93637524	19.30557805	19.16163787	20.49210671	18.57490636	999	17.88594233	999	999	999	999	20.46183316	999	999	999	999	999	999	999	999	20.45493408	999	19.48467159	999	19.75450868	999	19.57659975	999	999	999	999	19.87745952	21.22175672	999	999	999	999	999	999	999	20.9071503	999	999	19.62644984	999	999	999	20.87087479	999	999	999	999	999	999	999	999	
Nr0b1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Nr5a2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	38.65980721	999	999	999	999	999	999	999	999	999	999	999	999	20.56530365	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Nr6a1	20.77256716	18.3684479	999	999	999	19.36279051	19.46572169	999	999	999	999	999	20.67879609	999	999	999	22.83231	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	19.92201052	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.71774369	999	999	999	999	999	999	20.58821574	999	999	23.44319836	19.47840396	999	25.97507202	999	19.57681166	999	999	999	999	999	20.15397685	999	19.27244017	999	999	999	19.36157763	999	999	999	999	999	18.58406316	999	999	999	999	999	22.20255291	22.81055764	19.3167258	
Olig1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Olig2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.39435559	999	999	999	999	999	999	999	999	999	999	999	999	999	17.75618334	999	999	999	999	999	999	999	999	999	999	999	19.12482356	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Otx2	999	999	999	999	999	999	999	999	999	16.77920817	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	20.06180038	999	999	999	999	999	999	19.02123457	18.73666058	999	17.45461551	18.65691052	999	999	18.80797405	999	999	999	999	33.7849772	999	999	21.82193113	999	999	999	999	19.3820884	14.69988475	999	999	999	17.25916922	999	15.01360066	999	17.82253115	999	999	999	16.55443909	999	999	999	18.14992303	999	999	999	
Pax6	999	999	999	999	999	17.61521545	16.76619936	18.26477109	999	17.33279579	16.69154166	999	17.1675009	999	18.44856333	16.69853897	999	999	17.2143421	999	999	999	14.9907083	999	999	16.8037029	999	999	18.45654516	999	999	16.69279535	999	999	999	999	999	999	999	17.51510559	16.48807868	17.0922587	999	999	18.10872156	999	14.9652081	999	999	999	999	999	999	999	22.55200842	999	999	999	999	999	999	16.90569728	999	999	999	999	999	999	999	999	17.55858423	999	999	18.34940073	999	999	999	999	999	18.48502779	999	999	999	999	999	999	999	999	999	999	999	999	999	18.20845055	999	999	
Pou5f1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	18.71530687	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	
Prmt6	999	19.98581647	999	19.9416859	999	999	999	20.11344484	999	999	999	999	999	999	999	999	23.21451096	999	999	999	999	999	19.23571902	999	999	999	999	999	19.84905466	999	20.31195216	999	19.60330473	999	999	999	999	20.2318476	999	19.61774606	999	999	999	999	999	999	999	999	19.75280277	999	999	999	19.78074443	999	19.78276929	999	999	999	19.5694289	999	999	18.73710306	999	999	999	999	999	999	999	19.31474675	18.5879332	999	999	26.44452925	999	999	18.85153796	26.65363776	999	19.65023436	19.31161975	20.76710224	20.60971348	999	19.5145409	999	999	999	19.46002171	999	999	999	999	17.3626641	19.67614402	999	
Prmt7	999	17.83649786	19.30420645	17.81696209	18.16484148	19.11602048	18.70115721	999	18.96703073	18.12838122	999	999	999	17.9189501	999	17.67396651	18.18143388	999	999	999	999	999	18.17105367	18.2024089	999	999	20.54983976	18.94119734	17.53408058	999	19.36156429	999	999	18.91966881	999	999	999	999	18.89483705	19.30081579	19.40246388	18.85855784	999	999	999	999	999	18.98176305	999	999	999	16.87263319	19.2216285	17.32522005	17.24714502	19.61238607	999	19.11281198	18.37431982	19.12321385	18.9970335	16.37387301	17.58823884	999	999	17.16510802	18.07455044	18.98252037	999	16.99519622	18.97595611	16.67408972	19.28092722	18.43045678	17.41753171	19.55841294	17.72962173	18.95648918	19.25415147	999	18.13859705	19.72836718	18.52033291	18.70404511	17.3384354	16.69203845	999	18.92141461	17.82018216	19.1286327	18.3895822	999	999	17.18263902	16.8990601	17.66489093	
Ptpn11	16.46674499	13.10375054	17.52332385	16.78651497	15.12023999	17.52730845	14.96387352	16.57461596	17.02129922	17.97022935	16.70214149	17.6350998	999	18.1003478	999	17.64378364	16.74896047	16.6272947	17.43715839	17.50896246	17.57481191	999	17.48216307	999	17.35215467	16.43593758	14.88224428	18.35066889	999	999	16.43816174	999	16.60446699	14.8753798	16.89185204	999	999	17.20986058	15.70832057	15.98198879	17.71453156	17.51027502	999	15.58284102	17.54109882	17.40829273	17.50539379	15.95463809	16.37230771	999	16.30739831	15.89120211	15.41521406	14.80987725	17.44205998	14.69402454	999	17.65450518	17.72797865	16.76693844	14.97256054	15.09186545	16.25811691	16.60885249	21.64618307	17.29669839	20.3001485	999	999	14.97759249	15.24583034	15.90377768	15.70690359	16.26889632	17.81827733	16.00268838	16.21363288	15.89410154	16.4761299	15.85530775	15.84214289	17.1662726	17.65620131	16.0649922	15.05424025	20.84797406	999	16.60314989	14.89576894	17.71158588	15.5282418	999	15.99638046	16.17581941	15.74431118	17.53717635	
Rai1	16.94992107	999	15.96915659	999	17.75380874	999	16.40434788	18.03332701	999	17.18433955	18.41812502	18.51333354	17.14336589	15.82706534	16.73271244	17.96640473	999	999	15.94708709	18.40918721	18.08933841	999	17.78095471	16.78883369	18.05575067	17.22110478	999	999	18.31928259	999	17.91276768	17.55994011	15.41864165	16.57663927	15.75096242	999	999	16.28139079	17.82886072	19.07548449	15.64750534	16.04367294	17.23641881	16.8931698	999	15.48539824	16.38500398	15.83075011	14.58385195	999	16.61251749	16.16299998	15.19175542	17.63907774	14.33257019	17.97680691	999	16.73985875	15.70776524	16.17829558	17.10411477	15.31096414	14.26213738	16.43868389	16.37334182	999	15.34522654	15.88769254	999	14.44520858	18.09093457	15.60567304	16.52207095	16.11726399	18.11726114	17.34081293	16.45816574	17.80089738	999	16.20975563	14.68812943	15.32528106	15.78382583	14.06641338	14.54650675	17.5087758	999	15.67311634	15.86544448	16.99823509	16.15782383	21.17112741	999	14.56155602	15.56973692	15.71197446	
