Regulator	Target	SINGE_Score
TGIF1	SMAD7	0.00116
KLF4	EPAS1	0.00116
BMYC	SMAD7	0.00116
WHSC1	TFEB	0.00116
BMP2	WHSC1	0.00115
ZFP710	HMGA1	0.00115
TET1	ZC3H7A	0.00115
RHOX6	ETS1	0.00115
REST	HNRNPK	0.00115
EGR1	TBX3	0.00115
TBX3	SALL4	0.00115
ID2	ESRRB	0.00115
FOXA2	BHLHE40	0.00115
SALL4	DNMT3B	0.00114
ZFHX3	GATA6	0.00114
ID1	TAX1BP3	0.00114
HOPX	RBPJ	0.00114
PEG3	SOX17	0.00114
SNAI1	SOX17	0.00114
BCL3	ETS1	0.00114
HNRNPK	ZFHX3	0.00114
RHOX6	FOXA2	0.00114
SATB2	MTF2	0.00114
ZC3H7A	FOXQ1	0.00114
BMYC	KDM5B	0.00114
HNRNPK	TEAD4	0.00114
MTF2	EPAS1	0.00114
ZFP462	SATB2	0.00113
DNMT3L	XBP1	0.00113
RUNX1	RBPJ	0.00113
ZBTB10	RUNX1	0.00113
ZFP532	DDIT3	0.00113
PURB	DNMT3B	0.00113
SOX17	NR0B1	0.00113
KLF10	NFXL1	0.00113
ZC3H7A	NR0B1	0.00113
ZFP428	GATA6	0.00113
BMP2	TET2	0.00113
KLF6	HOPX	0.00113
TFEB	CREB3	0.00113
TCF7L2	SNAI1	0.00112
TEAD4	NFXL1	0.00112
RHOX6	L3MBTL3	0.00112
ZFP462	DNMT3B	0.00112
AFF1	PHB	0.00112
ZFP710	KLF4	0.00112
ZFP462	RHOX6	0.00112
BHLHE40	ESRRB	0.00112
SATB2	POU5F1	0.00112
L3MBTL3	SATB2	0.00112
BMP2	NFIL3	0.00111
BMYC	TCF15	0.00111
KLF2	ESRRB	0.00111
SALL4	CREB3	0.00111
ID3	BHLHE40	0.00111
PARP1	ID3	0.00111
ZC3H7A	SIX1	0.0011
FOXQ1	TEAD4	0.0011
PURB	RERE	0.0011
ID3	DDIT3	0.0011
SMAD7	ZFP710	0.0011
ID1	MYBL2	0.0011
MSX2	ETS1	0.0011
ZFP532	KLF6	0.0011
REST	HNF1B	0.0011
TRP53	DNMT3L	0.0011
HNRNPK	DNMT3A	0.0011
BMP2	MSX2	0.0011
BCL3	HMGA1	0.0011
TBX3	HOPX	0.0011
SMAD7	HMGA2	0.0011
HNRNPK	POU5F1	0.0011
CREB3	ID2	0.00109
SOX2	PEG3	0.00109
EGR1	DNMT3A	0.00109
TRP53	SOX7	0.00109
TFEB	TCF15	0.00109
SATB2	EGR1	0.00109
ZFP428	TAX1BP3	0.00109
ZFP42	NR0B1	0.00109
SATB2	BMYC	0.00109
EPAS1	FOXA2	0.00109
NFIL3	XBP1	0.00109
JUN	ZFP428	0.00109
AFF1	NFXL1	0.00109
SOX7	ID3	0.00108
KDM5B	SALL4	0.00108
TCF7L2	HNRNPK	0.00108
L3MBTL3	NFXL1	0.00108
RERE	EPAS1	0.00108
SALL4	TEAD4	0.00108
TEAD4	HOPX	0.00108
DDIT3	TFCP2L1	0.00108
TCF7L2	ZC3H7A	0.00108
HNRNPK	REST	0.00108
SATB2	KDM5B	0.00108
SOX7	BMP2	0.00108
TBX3	KLF6	0.00108
KLF4	MTF2	0.00108
HNRNPK	ETS1	0.00108
PHB	GATA4	0.00107
NFIL3	TRP53	0.00107
PHB	ESRRB	0.00107
PHB	ID3	0.00107
BMP2	L3MBTL3	0.00107
ZFP462	ESRRB	0.00107
ZFP428	SALL4	0.00107
SMAD7	MSC	0.00107
ZFHX3	TAX1BP3	0.00107
EPAS1	BMYC	0.00107
CREB3	HOPX	0.00107
ZFP532	WHSC1	0.00107
PURB	FOXQ1	0.00107
GATA4	ID1	0.00107
ID3	ESRRB	0.00107
GATA6	ETV5	0.00107
HMGA2	TET2	0.00107
TET2	JARID2	0.00107
TET2	RUNX1	0.00107
SOX2	CREB3	0.00107
BCL3	TAX1BP3	0.00107
GATA6	PEG3	0.00107
RHOX6	ELF2	0.00107
BMP2	TET1	0.00107
MYBL2	ID3	0.00107
REST	TAX1BP3	0.00107
ZC3H7A	ID3	0.00106
TCF7L2	HOPX	0.00106
POU5F1	GATA6	0.00106
PURB	CREB3L2	0.00106
ZFHX3	GATA4	0.00106
ZC3H7A	JUN	0.00106
HMGA2	REST	0.00106
RARG	ESRRB	0.00106
RHOX6	SIX1	0.00106
RBPJ	GATA4	0.00106
BMP2	PURB	0.00106
ZFP42	CREB3L2	0.00106
BHLHE40	ZFP42	0.00105
POU5F1	HMGA1	0.00105
ID2	PARP1	0.00105
MSX2	JARID2	0.00105
DNMT3A	TAX1BP3	0.00105
ETS1	FOXQ1	0.00105
TGIF1	ELF2	0.00105
ID2	NFXL1	0.00105
TCF7L2	ELF3	0.00105
DNMT3L	PEG3	0.00105
ZC3H7A	CREB3L2	0.00105
ELF3	HMGA1	0.00105
RBPJ	SNAI1	0.00105
ZBTB10	TET2	0.00105
TET2	L3MBTL3	0.00105
ZBTB44	KLF4	0.00105
DNMT3A	RHOX6	0.00105
ZC3H7A	ESRRB	0.00105
HMGA1	ID3	0.00105
AFF1	RUNX1	0.00105
RHOX6	ZFP42	0.00105
CREB3	TBX3	0.00104
EPAS1	ELF3	0.00104
DDIT3	HNF1B	0.00104
FOXH1	EPAS1	0.00104
TET2	XBP1	0.00104
BHLHE40	PARP1	0.00104
RHOX6	RERE	0.00104
BHLHE40	MTF2	0.00104
SATB2	KLF10	0.00104
REST	L3MBTL3	0.00104
SMAD7	ETS1	0.00104
SALL4	SATB2	0.00104
EGR1	TCF7L2	0.00104
ETV4	TCF7L2	0.00103
WHSC1	HMGA1	0.00103
TCF7L2	RERE	0.00103
BCL3	TCF7L2	0.00103
ZFP532	POU5F1	0.00103
TGIF1	BMYC	0.00103
ELF2	FOXQ1	0.00103
KLF2	ID1	0.00103
ZFP532	HNRNPK	0.00103
SNAI1	AFF1	0.00103
RARG	KLF3	0.00103
SALL4	ZFP462	0.00103
TGIF1	BHLHE40	0.00103
TRP53	ESRRB	0.00103
PEG3	RHOX6	0.00103
BMP2	TAX1BP3	0.00103
WHSC1	ID1	0.00102
REST	ETS1	0.00102
MSC	ZFHX3	0.00102
REST	JUN	0.00102
BHLHE40	JUN	0.00102
BMYC	ZFP42	0.00102
TCF7L2	KDM5B	0.00102
SALL4	TBX3	0.00102
KLF4	SOX17	0.00102
ELF2	MYCN	0.00102
TBX3	WHSC1	0.00102
TGIF1	SOX17	0.00102
DNMT3A	FOXQ1	0.00102
KDM5B	PARP1	0.00102
SATB2	WHSC1	0.00102
REST	SIX1	0.00102
BHLHE40	NFIL3	0.00102
TET2	RBPJ	0.00101
BMP2	TFCP2L1	0.00101
ZC3H7A	DNMT3B	0.00101
GLI1	NANOG	0.00101
ZFP428	ZBTB10	0.00101
AFF1	CREB3L2	0.00101
SOX7	ZFHX3	0.00101
EPAS1	GATA6	0.00101
REST	FOXA2	0.00101
PHB	NR0B1	0.00101
TFCP2L1	ID1	0.00101
TFEB	CREB3L2	0.00101
TCF7L2	ZFP42	0.00101
SATB2	RBPJ	0.00101
ETS1	JARID2	0.00101
HNF1B	POU5F1	0.00101
ZFP57	NFXL1	0.00101
ZFP296	HNRNPK	0.00101
SNAI1	DNMT3A	0.00101
SOX17	SIX1	0.00101
SNAI1	KLF10	0.001
BMYC	JUN	0.001
ERF	UTF1	0.001
ID3	KDM5B	0.001
MSX2	ID3	0.001
BMP2	ZFP710	0.001
ELF2	JARID2	0.001
DDIT3	HOPX	0.001
SNAI1	HMGA1	0.001
AFF1	JARID2	0.001
SALL4	SNAI1	0.001
EGR1	NFIL3	0.001
KLF3	DNMT3L	0.001
TET2	NFIL3	0.001
PHB	DNMT3L	0.001
ZFP462	CREB3L2	0.001
WHSC1	MYCN	0.001
TET2	PHB	0.001
FOXA2	ID3	0.001
BMYC	ZFP57	0.001
PURB	ELF2	0.00099
KLF10	GATA4	0.00099
GATA6	ID2	0.00099
POU5F1	MYCN	0.00099
SOX2	JUN	0.00099
DNMT3B	BHLHE40	0.00099
TCF7L2	CREB3	0.00099
ZFP532	DNMT3A	0.00099
HNRNPK	ETV5	0.00099
POU5F1	PEG3	0.00099
ZFP296	ZFP462	0.00099
ID3	ZBTB10	0.00099
ZFP428	POU5F1	0.00099
ZFP428	EGR1	0.00099
KLF2	ELF3	0.00099
DDIT3	ZFHX3	0.00099
TBX3	NFXL1	0.00099
ETS1	KLF4	0.00099
TAX1BP3	DNMT3L	0.00099
RARG	TET1	0.00099
MSC	POU5F1	0.00098
TFCP2L1	PEG3	0.00098
KLF4	HNRNPK	0.00098
KLF3	MYCN	0.00098
ELF2	HNF1B	0.00098
TCF7L2	CREB3L2	0.00098
TFEB	ZC3H7A	0.00098
NR0B1	TBX3	0.00098
SATB2	MYBL2	0.00098
DDIT3	RERE	0.00098
MTF2	ELF3	0.00098
ELF2	CREB3L2	0.00098
KLF2	SALL4	0.00098
RARG	TRP53	0.00098
MSX2	FOXQ1	0.00098
L3MBTL3	WHSC1	0.00097
TGIF1	KDM5B	0.00097
PURB	TFCP2L1	0.00097
SOX17	DDIT3	0.00097
SNAI1	CREB3L2	0.00097
SALL4	RERE	0.00097
GATA6	GATA4	0.00097
KLF3	ID3	0.00097
HMGA1	SALL4	0.00097
ETV4	KLF4	0.00097
TGIF1	AFF1	0.00097
ZBTB10	UTF1	0.00097
ID3	SOX17	0.00097
BHLHE40	ELF2	0.00097
EGR1	TFEB	0.00097
KLF4	JARID2	0.00097
HMGA2	TBX3	0.00097
SALL4	ID3	0.00097
TEAD4	HNRNPK	0.00096
ZFP532	CARHSP1	0.00096
DDIT3	TFEB	0.00096
SIX1	ESRRB	0.00096
MSC	EPAS1	0.00096
BMP2	MYBL2	0.00096
KLF4	POU5F1	0.00096
PURB	PHB	0.00096
FOXA2	RERE	0.00096
ETV4	RHOX6	0.00096
AFF1	FOXQ1	0.00096
SNAI1	JARID2	0.00096
ZBTB10	TFCP2L1	0.00096
SMAD7	PHB	0.00096
AFF1	SNAI1	0.00096
POU5F1	KLF6	0.00096
RUNX1	CARHSP1	0.00096
HNF1B	DDIT3	0.00096
KLF4	PARP1	0.00096
TEAD4	GATA6	0.00096
KLF10	PEG3	0.00096
MYBL2	GATA6	0.00096
MSC	GATA6	0.00095
MTF2	SOX7	0.00095
KLF3	POU5F1	0.00095
FOXA2	FOXQ1	0.00095
SALL4	ETV5	0.00095
PHB	JARID2	0.00095
ZFP296	TFEB	0.00095
KDM5B	KLF4	0.00095
KLF4	ZFP462	0.00095
MSX2	TEAD4	0.00095
HNRNPK	KLF3	0.00095
DNMT3L	RBPJ	0.00095
RARG	JUN	0.00095
ZFP428	KLF6	0.00095
ETV4	FOXQ1	0.00095
ZFHX3	DNMT3B	0.00095
SNAI1	ELF3	0.00094
BHLHE40	FOXA2	0.00094
SALL4	ESRRB	0.00094
JUN	ZBTB44	0.00094
MSX2	SNAI1	0.00094
BMP2	ELF2	0.00094
EGR1	RHOX6	0.00094
ZFP710	FOXQ1	0.00094
GATA6	CARHSP1	0.00094
ZFP532	HNF1B	0.00094
ZFP57	SOX7	0.00094
TRP53	UTF1	0.00094
EPAS1	L3MBTL3	0.00094
KLF10	SNAI1	0.00094
PEG3	FOXQ1	0.00094
ZFP532	HOPX	0.00094
SMAD7	CREB3	0.00093
BMYC	REST	0.00093
EGR1	FOXQ1	0.00093
ZFP428	ERF	0.00093
BHLHE40	BCL3	0.00093
MSX2	WHSC1	0.00093
PURB	BMYC	0.00093
NFIL3	CARHSP1	0.00093
GATA6	TBX3	0.00093
DDIT3	MYBL2	0.00093
BCL3	JARID2	0.00093
RARG	TGIF1	0.00093
ZFP462	TCF15	0.00093
WHSC1	KDM5B	0.00093
ID1	FOXH1	0.00093
ID1	TRP53	0.00092
KLF4	TEAD4	0.00092
ZBTB10	NR0B1	0.00092
RUNX1	FOXA2	0.00092
ZBTB44	TAX1BP3	0.00092
ZFP428	ZFHX3	0.00092
ID3	UTF1	0.00092
HNRNPK	BHLHE40	0.00092
KDM5B	SOX17	0.00092
ELF2	ZFP57	0.00092
RHOX6	ESRRB	0.00092
HNF1B	GATA4	0.00092
HMGA2	MSC	0.00092
CARHSP1	HMGA1	0.00092
ZFP296	ID2	0.00092
BHLHE40	HNRNPK	0.00091
POU5F1	ZC3H7A	0.00091
FOXA2	WHSC1	0.00091
ETV4	CREB3L2	0.00091
ID3	FOXA2	0.00091
MTF2	HMGA1	0.00091
HNF1B	SOX17	0.00091
MSC	DNMT3B	0.00091
SOX2	DDIT3	0.00091
HNRNPK	TCF7L2	0.00091
AFF1	RBPJ	0.00091
TBX3	PEG3	0.00091
ZC3H7A	MYCN	0.00091
CREB3	DDIT3	0.00091
EGR1	CREB3	0.00091
HMGA1	HOPX	0.00091
KDM5B	KLF6	0.00091
GATA6	TFEB	0.00091
HMGA2	ID1	0.00091
ZFP532	XBP1	0.00091
TET2	JUN	0.00091
HNRNPK	PURB	0.00091
ZFP532	TFEB	0.00091
ID2	BMYC	0.0009
TGIF1	RERE	0.0009
HNRNPK	NFXL1	0.0009
POU5F1	HNRNPK	0.0009
ZFP296	DNMT3B	0.0009
NFIL3	UTF1	0.0009
ETS1	TFEB	0.0009
ETV4	L3MBTL3	0.0009
RHOX6	REST	0.0009
ZFP462	CARHSP1	0.0009
HMGA1	ESRRB	0.0009
AFF1	MYCN	0.0009
GATA4	TEAD4	0.0009
WHSC1	TBX3	0.0009
TBX3	MYCN	0.0009
RBPJ	TAX1BP3	0.0009
RARG	HOPX	0.0009
ETS1	WHSC1	0.0009
DDIT3	BCL3	0.0009
DDIT3	ZC3H7A	0.00089
ZFP428	BCL3	0.00089
KLF10	TEAD4	0.00089
TET2	DNMT3A	0.00089
ZFP57	TAX1BP3	0.00089
CREB3	PARP1	0.00089
ZFP532	JARID2	0.00089
CREB3	KLF4	0.00089
SOX2	PARP1	0.00089
ZFP428	XBP1	0.00089
ZFP532	ERF	0.00089
FOXA2	BMP2	0.00089
ZFP462	MYBL2	0.00089
PEG3	TAX1BP3	0.00089
SOX2	CARHSP1	0.00089
SATB2	RERE	0.00089
ID2	ZFP42	0.00089
FOXA2	JARID2	0.00089
ETV4	ELF3	0.00089
AFF1	WHSC1	0.00089
ZFP296	PEG3	0.00089
RUNX1	SALL4	0.00089
KLF2	NFXL1	0.00089
SALL4	CREB3L2	0.00089
TEAD4	KLF4	0.00089
DDIT3	HNRNPK	0.00088
TCF15	UTF1	0.00088
SMAD7	ZFP428	0.00088
ELF2	KLF10	0.00088
CREB3	DNMT3A	0.00088
ELF2	HNRNPK	0.00088
ZFP532	SALL4	0.00088
DDIT3	SIX1	0.00088
PHB	UTF1	0.00088
AFF1	MSC	0.00088
SNAI1	FOXA2	0.00088
ETS1	TAX1BP3	0.00088
SMAD7	ZBTB10	0.00088
BCL3	HOPX	0.00088
PEG3	HNRNPK	0.00088
MYBL2	KLF6	0.00088
HNF1B	FOXQ1	0.00088
BMYC	ELF2	0.00088
SATB2	HNRNPK	0.00088
ELF2	ID2	0.00087
SATB2	NR0B1	0.00087
FOXA2	KLF4	0.00087
POU5F1	CREB3L2	0.00087
ZFP428	SOX2	0.00087
FOXA2	ELF3	0.00087
RARG	ZFP462	0.00087
ZC3H7A	HNRNPK	0.00087
TET2	HNRNPK	0.00087
EGR1	GATA4	0.00087
NFIL3	MSX2	0.00087
HNRNPK	DDIT3	0.00087
GATA6	TEAD4	0.00087
RARG	RHOX6	0.00087
SOX17	FOXQ1	0.00087
TFEB	FOXH1	0.00087
ID2	NFIL3	0.00087
MSX2	RERE	0.00087
ID2	CREB3L2	0.00087
KLF2	TFCP2L1	0.00087
ZFP296	L3MBTL3	0.00087
KLF6	SOX17	0.00087
MYCN	JARID2	0.00087
TCF7L2	SIX1	0.00087
KLF4	TCF15	0.00087
TCF7L2	PARP1	0.00087
TEAD4	KDM5B	0.00087
MSX2	TBX3	0.00086
SOX2	HNF1B	0.00086
ZBTB44	NFXL1	0.00086
L3MBTL3	ZFP57	0.00086
ZFP57	TEAD4	0.00086
ID2	RUNX1	0.00086
REST	CARHSP1	0.00086
SALL4	MSC	0.00086
SALL4	TCF15	0.00086
ELF3	SOX7	0.00086
NFIL3	CREB3L2	0.00086
HNRNPK	MTF2	0.00086
ID2	GATA4	0.00086
POU5F1	TAX1BP3	0.00086
SIX1	NR0B1	0.00086
BHLHE40	ZBTB10	0.00086
ZFP57	BHLHE40	0.00086
ERF	HOPX	0.00086
ID2	JARID2	0.00086
ZC3H7A	SALL4	0.00086
KDM5B	RBPJ	0.00085
ID3	TCF15	0.00085
TET2	SMAD7	0.00085
PARP1	ID2	0.00085
ZBTB10	JARID2	0.00085
KLF2	DNMT3B	0.00085
TFEB	REST	0.00085
ID2	RBPJ	0.00085
BHLHE40	SATB2	0.00085
TFEB	JUN	0.00085
ETV4	SIX1	0.00085
TFEB	MYBL2	0.00085
ELF3	SNAI1	0.00085
RHOX6	MTF2	0.00085
PEG3	KLF4	0.00085
MSX2	DNMT3A	0.00085
L3MBTL3	UTF1	0.00085
ZFP57	ELF3	0.00085
MTF2	BHLHE40	0.00085
POU5F1	HOPX	0.00085
RHOX6	BCL3	0.00085
ZFP428	PURB	0.00084
TFEB	ELF2	0.00084
TRP53	DNMT3B	0.00084
RHOX6	MYBL2	0.00084
DNMT3L	TAX1BP3	0.00084
POU5F1	L3MBTL3	0.00084
DNMT3B	HOPX	0.00084
SALL4	ZFP710	0.00084
NFIL3	KLF6	0.00084
PEG3	ID3	0.00084
ELF2	ID3	0.00084
ETV4	HMGA1	0.00084
HOPX	RHOX6	0.00084
RHOX6	HMGA2	0.00084
ZFP57	TCF7L2	0.00084
PURB	SOX17	0.00083
ELF2	SOX17	0.00083
ZFP428	TCF7L2	0.00083
ELF2	NFXL1	0.00083
MYCN	DNMT3L	0.00083
ELF2	XBP1	0.00083
BHLHE40	TFCP2L1	0.00083
TCF7L2	BMYC	0.00083
ZFP462	EGR1	0.00083
MSX2	ERF	0.00083
ZC3H7A	DDIT3	0.00083
TFEB	HMGA2	0.00083
REST	PURB	0.00083
PEG3	BMP2	0.00083
L3MBTL3	DDIT3	0.00083
ETS1	UTF1	0.00083
ZFP42	TFEB	0.00083
AFF1	ZFP462	0.00083
TET2	WHSC1	0.00083
HMGA2	FOXQ1	0.00083
L3MBTL3	ZBTB10	0.00082
AFF1	HNF1B	0.00082
ZFP57	TGIF1	0.00082
EGR1	HNF1B	0.00082
BCL3	MYCN	0.00082
KLF10	HNF1B	0.00082
POU5F1	GATA4	0.00082
KLF2	UTF1	0.00082
NFIL3	DDIT3	0.00082
ZFP428	ETS1	0.00082
MTF2	KLF6	0.00082
L3MBTL3	KDM5B	0.00082
POU5F1	JARID2	0.00082
HOPX	KLF3	0.00082
SOX17	DNMT3B	0.00082
DDIT3	SATB2	0.00082
AFF1	MSX2	0.00082
ZBTB44	DNMT3A	0.00082
FOXQ1	ID2	0.00082
ZFP57	PHB	0.00082
TBX3	GATA6	0.00082
MYBL2	ELF3	0.00082
ZFP462	JUN	0.00082
BMP2	ZC3H7A	0.00082
SOX2	UTF1	0.00082
PURB	HOPX	0.00082
KLF4	PEG3	0.00082
TCF7L2	FOXA2	0.00082
ID2	ELF2	0.00082
SATB2	ZBTB10	0.00082
WHSC1	ZFP462	0.00082
RARG	KLF2	0.00082
DNMT3L	NR0B1	0.00081
ZFP462	NFIL3	0.00081
EGR1	SNAI1	0.00081
ZBTB44	HOPX	0.00081
L3MBTL3	ZC3H7A	0.00081
TFCP2L1	DNMT3L	0.00081
KLF3	ZFP57	0.00081
TET1	ID2	0.00081
SIX1	UTF1	0.00081
BHLHE40	RHOX6	0.00081
ZFP296	TCF15	0.00081
EPAS1	NR0B1	0.00081
TET2	ZFP462	0.00081
CARHSP1	DNMT3L	0.00081
BHLHE40	KLF10	0.00081
MSC	KLF6	0.00081
EGR1	KDM5B	0.00081
NFIL3	TAX1BP3	0.00081
RARG	ZFP710	0.00081
TGIF1	FOXA2	0.00081
REST	WHSC1	0.00081
PURB	BMP2	0.0008
TGIF1	ZC3H7A	0.0008
KLF4	HMGA1	0.0008
KLF6	HMGA1	0.0008
EPAS1	PEG3	0.0008
REST	XBP1	0.0008
KLF6	PARP1	0.0008
RHOX6	TRP53	0.0008
SATB2	ZC3H7A	0.0008
ZFP462	NR0B1	0.0008
NR0B1	KLF10	0.0008
KLF4	GATA6	0.0008
HOPX	BCL3	0.0008
ZFP42	SNAI1	0.0008
JARID2	ELF3	0.0008
PURB	ZFHX3	0.0008
ZFP296	DDIT3	0.0008
JUN	NR0B1	0.0008
HNRNPK	RUNX1	0.0008
TFEB	BMYC	0.0008
POU5F1	ZFP462	0.0008
CREB3	FOXA2	0.0008
EPAS1	BMP2	0.0008
ZFP57	PARP1	0.0008
BMYC	SATB2	0.0008
HMGA1	TEAD4	0.0008
TRP53	KLF4	0.00079
ZFHX3	UTF1	0.00079
WHSC1	RHOX6	0.00079
BHLHE40	ERF	0.00079
CREB3	DNMT3L	0.00079
TFEB	PURB	0.00079
ZFP296	SALL4	0.00079
HMGA2	FOXA2	0.00079
HMGA2	POU5F1	0.00079
RUNX1	TCF7L2	0.00079
NFIL3	ID3	0.00079
ZC3H7A	ID2	0.00079
AFF1	TFEB	0.00079
GLI1	RARG	0.00079
ZC3H7A	KDM5B	0.00079
MSC	ID3	0.00079
ZFP428	NR0B1	0.00079
ETV4	KLF6	0.00079
HNRNPK	BMP2	0.00079
NFIL3	ZFP462	0.00079
RHOX6	TCF15	0.00079
ETS1	GATA6	0.00079
RBPJ	XBP1	0.00079
KLF3	SNAI1	0.00079
HOPX	BMP2	0.00079
HMGA2	PURB	0.00079
MSC	HOPX	0.00079
KDM5B	BMYC	0.00078
HMGA1	UTF1	0.00078
NFIL3	SNAI1	0.00078
TFEB	ZBTB10	0.00078
WHSC1	ID3	0.00078
ZBTB10	ZFP462	0.00078
BMP2	ZFP428	0.00078
TBX3	BMP2	0.00078
ERF	SOX17	0.00078
MYBL2	ID1	0.00078
ZFP532	ESRRB	0.00078
RARG	SATB2	0.00078
REST	TFCP2L1	0.00078
ESRRB	ID2	0.00078
MTF2	ID2	0.00078
RHOX6	BMYC	0.00077
BMP2	TEAD4	0.00077
WHSC1	KLF4	0.00077
MTF2	JARID2	0.00077
HMGA2	DNMT3A	0.00077
PARP1	HMGA1	0.00077
ID1	TFCP2L1	0.00077
SATB2	TCF15	0.00077
RARG	ELF2	0.00077
HMGA2	MYCN	0.00077
AFF1	ELF2	0.00077
TET2	EGR1	0.00077
POU5F1	XBP1	0.00077
HNF1B	TRP53	0.00077
CREB3	UTF1	0.00077
ETS1	RHOX6	0.00077
CREB3	ELF3	0.00077
DNMT3L	MYCN	0.00077
NR0B1	SOX7	0.00077
KDM5B	JARID2	0.00077
UTF1	EPAS1	0.00077
EGR1	JUN	0.00077
ETV4	HOPX	0.00077
RBPJ	ID2	0.00077
ETS1	CREB3L2	0.00077
KLF10	RUNX1	0.00077
POU5F1	PARP1	0.00077
ZFP428	TFEB	0.00077
REST	PARP1	0.00077
ETS1	SNAI1	0.00076
ID3	SNAI1	0.00076
PEG3	UTF1	0.00076
HNRNPK	PARP1	0.00076
TGIF1	JARID2	0.00076
ZFP532	EGR1	0.00076
CREB3	POU5F1	0.00076
AFF1	KLF6	0.00076
HOPX	TET1	0.00076
TFEB	RERE	0.00076
KLF10	MYCN	0.00076
TBX3	FOXQ1	0.00076
EPAS1	ID2	0.00076
MSX2	SATB2	0.00076
PHB	ID2	0.00076
ETS1	NFXL1	0.00076
HNRNPK	GATA6	0.00076
HOPX	ZFP462	0.00076
TGIF1	NFXL1	0.00076
CREB3	SMAD7	0.00075
DNMT3A	RUNX1	0.00075
ZFP532	TCF7L2	0.00075
ELF2	HMGA2	0.00075
SNAI1	L3MBTL3	0.00075
ZFP532	DNMT3B	0.00075
ZFP462	KLF3	0.00075
TGIF1	ETS1	0.00075
SALL4	L3MBTL3	0.00075
RARG	TCF7L2	0.00075
TGIF1	EGR1	0.00075
ID1	POU5F1	0.00075
KLF4	NFIL3	0.00075
HMGA1	TCF7L2	0.00075
AFF1	BMP2	0.00075
NFXL1	GATA4	0.00075
ERF	ELF3	0.00075
XBP1	TRP53	0.00075
RERE	FOXQ1	0.00075
KLF2	TBX3	0.00075
CREB3	HNRNPK	0.00075
ZFP296	KLF6	0.00075
NFIL3	GATA6	0.00075
SIX1	PEG3	0.00074
ID2	JUN	0.00074
REST	NFIL3	0.00074
KLF2	PARP1	0.00074
PEG3	DNMT3B	0.00074
FOXA2	JUN	0.00074
KLF10	NFIL3	0.00074
DNMT3B	ID1	0.00074
FOXA2	ZBTB10	0.00074
NFIL3	NFXL1	0.00074
GATA4	KLF6	0.00074
PHB	MYCN	0.00074
ZFP428	NFIL3	0.00074
PURB	ELF3	0.00074
TRP53	HMGA1	0.00074
CREB3	WHSC1	0.00074
ZBTB10	TEAD4	0.00074
RUNX1	TEAD4	0.00074
ELF3	PEG3	0.00074
EGR1	ZFP42	0.00074
TCF7L2	BMP2	0.00074
TET2	MSX2	0.00074
MSC	L3MBTL3	0.00074
REST	ELF2	0.00074
HMGA2	PARP1	0.00074
ZFP42	L3MBTL3	0.00074
ETS1	SOX17	0.00074
GATA6	DNMT3B	0.00073
FOXA2	ZFP710	0.00073
SOX2	EPAS1	0.00073
POU5F1	FOXQ1	0.00073
DDIT3	FOXA2	0.00073
BCL3	ESRRB	0.00073
TFCP2L1	SOX7	0.00073
KLF6	BCL3	0.00073
SOX2	BMYC	0.00073
POU5F1	DNMT3A	0.00073
HMGA2	GATA6	0.00073
SNAI1	TET2	0.00073
ZFP296	NFIL3	0.00073
TGIF1	NR0B1	0.00073
ETV4	FOXA2	0.00073
BMP2	DDIT3	0.00073
SOX7	DNMT3B	0.00073
HOPX	ZFP428	0.00073
ETV4	GATA4	0.00073
ZFP532	ZC3H7A	0.00073
TFEB	ZFHX3	0.00073
MYCN	ERF	0.00073
SIX1	DNMT3L	0.00073
BHLHE40	DNMT3A	0.00072
MSX2	CREB3	0.00072
SOX17	L3MBTL3	0.00072
SATB2	SIX1	0.00072
SNAI1	KDM5B	0.00072
ZFP710	ID1	0.00072
ZFP710	ESRRB	0.00072
RHOX6	ZFP710	0.00072
TEAD4	EPAS1	0.00072
ZFP428	KLF10	0.00072
ZFP296	FOXQ1	0.00072
MYBL2	CREB3L2	0.00072
L3MBTL3	RUNX1	0.00072
BHLHE40	ZC3H7A	0.00072
DDIT3	KLF6	0.00072
ZBTB44	ELF3	0.00072
HMGA2	TFEB	0.00072
HNF1B	ID1	0.00072
SMAD7	MYBL2	0.00072
REST	BMYC	0.00072
BMYC	ZBTB10	0.00072
ETV4	DNMT3L	0.00072
PURB	JARID2	0.00072
TEAD4	SATB2	0.00072
ETV4	NFXL1	0.00072
TBX3	HMGA1	0.00072
GLI1	ZFP532	0.00072
REST	CREB3	0.00072
TCF15	KLF6	0.00072
AFF1	ZFP42	0.00072
ZBTB44	NR0B1	0.00072
DDIT3	PHB	0.00072
SATB2	ZFP296	0.00072
GATA4	SOX7	0.00072
SALL4	TRP53	0.00072
ZBTB10	EPAS1	0.00072
ZFP462	KDM5B	0.00072
WHSC1	SNAI1	0.00072
TGIF1	GATA4	0.00072
ZC3H7A	ZBTB10	0.00072
KLF4	NR0B1	0.00072
BCL3	REST	0.00071
DNMT3L	ID3	0.00071
ZC3H7A	KLF4	0.00071
SOX7	SMAD7	0.00071
ZBTB10	REST	0.00071
KDM5B	MYCN	0.00071
KLF10	BMP2	0.00071
PURB	PARP1	0.00071
DNMT3L	JARID2	0.00071
KLF2	HNRNPK	0.00071
BMYC	TFEB	0.00071
BCL3	HNF1B	0.00071
ZFP296	POU5F1	0.00071
ZC3H7A	ERF	0.00071
